iter	Passed	Remaining
0	1	126
1	2	107
2	3	100
3	3	92
4	4	91
5	5	92
6	6	91
7	7	88
8	8	86
9	9	83
10	10	81
11	10	79
12	11	77
13	12	76
14	13	74
15	13	72
16	14	71
17	15	69
18	15	67
19	16	66
20	17	65
21	17	63
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
