iter	Passed	Remaining
0	59	59492
1	60	29940
2	60	20042
3	60	15094
4	60	12133
5	61	10150
6	61	8739
7	61	7680
8	62	6859
9	62	6198
10	62	5659
11	63	5207
12	63	4827
13	63	4501
14	64	4218
15	64	3972
16	65	3761
17	65	3571
18	65	3405
19	66	3261
20	66	3119
21	67	2992
22	67	2872
23	67	2763
24	68	2664
25	68	2571
26	68	2485
27	69	2405
28	69	2331
29	69	2261
30	70	2194
31	70	2132
32	70	2074
33	71	2019
34	71	1968
35	71	1918
36	71	1872
37	72	1828
38	72	1786
39	72	1746
40	73	1709
41	73	1673
42	73	1639
43	73	1606
44	74	1578
45	74	1550
46	75	1522
47	75	1495
48	75	1470
49	76	1448
50	76	1423
51	76	1399
52	77	1378
53	77	1358
54	77	1337
55	78	1317
56	78	1298
57	78	1279
58	79	1260
59	79	1242
60	79	1226
61	79	1209
62	80	1194
63	80	1178
64	80	1163
65	81	1148
66	81	1134
67	81	1120
68	81	1106
69	82	1093
70	82	1081
71	82	1068
72	83	1056
73	83	1045
74	83	1035
75	84	1023
76	84	1012
77	84	1001
78	84	990
79	85	980
80	85	970
81	85	960
82	85	949
83	86	939
84	86	930
85	86	921
86	87	913
87	87	905
88	87	897
89	87	888
90	88	881
91	88	874
92	88	866
93	89	859
94	89	852
95	89	844
96	90	839
97	90	832
98	90	825
99	91	819
100	91	812
101	91	806
102	91	800
103	92	794
104	92	788
105	92	782
106	93	776
107	93	771
108	93	765
109	93	759
110	94	754
111	94	748
112	94	743
113	95	738
114	95	733
115	95	728
116	95	722
117	95	717
118	96	712
119	96	708
120	96	703
121	97	698
122	97	698
123	98	694
124	98	690
125	98	686
126	99	681
127	99	677
128	99	673
129	99	669
130	100	665
131	100	661
132	100	657
133	101	653
134	101	649
135	101	645
136	101	642
137	102	639
138	102	636
139	102	632
140	103	629
141	103	625
142	103	621
143	104	618
144	104	615
145	104	612
146	104	609
147	105	605
148	105	602
149	105	600
150	106	596
151	106	594
152	106	591
153	107	588
154	107	585
155	107	582
156	108	580
157	108	577
158	108	574
159	109	572
160	109	569
161	109	566
162	109	563
163	110	561
164	110	558
165	110	556
166	111	554
167	111	551
168	111	549
169	111	546
170	112	544
171	112	541
172	112	539
173	113	537
174	113	534
175	113	532
176	114	530
177	114	528
178	114	525
179	115	524
180	115	522
181	115	519
182	115	517
183	116	515
184	116	513
185	116	511
186	117	509
187	117	507
188	117	505
189	118	503
190	118	501
191	118	499
192	118	497
193	119	495
194	119	493
195	119	491
196	120	489
197	120	487
198	120	486
199	121	484
200	121	482
201	121	480
202	121	478
203	122	476
204	122	474
205	122	473
206	123	471
207	123	469
208	123	468
209	124	466
210	124	465
211	124	463
212	125	461
213	125	460
214	125	458
215	125	457
216	126	455
217	126	453
218	126	452
219	127	450
220	127	448
221	127	447
222	127	445
223	128	444
224	128	442
225	128	441
226	129	439
227	129	438
228	129	436
229	129	435
230	130	433
231	130	432
232	130	430
233	131	429
234	131	427
235	131	426
236	131	424
237	132	423
238	132	421
239	132	420
240	133	419
241	133	417
242	133	416
243	133	415
244	134	414
245	134	412
246	134	411
247	135	410
248	135	408
249	135	407
250	136	405
251	136	404
252	136	403
253	136	401
254	137	400
255	137	399
256	137	398
257	138	396
258	138	395
259	138	394
260	138	393
261	139	392
262	139	391
263	139	389
264	140	388
